School_Name,District,College_Name,College_Type,County_Name,County_Population,City,City_Population,ZIP,Zip_Population,State
Riverton High,Riverton,DNE,-1,Cherokee County,19236,Riverton,-1,66770,860,KS
Riverton Middle,Riverton,DNE,-1,Cherokee County,19236,Riverton,-1,66770,860,KS
Southeast Elementary School,Cherokee,DNE,-1,Cherokee County,19236,Weir,910,66781,1155,KS
Cheylin Elementary,Cheylin,DNE,-1,Cheyenne County,2628,Bird City,579,67731,880,KS
Cheylin Jr/Sr High,Cheylin,DNE,-1,Cheyenne County,2628,Bird City,579,67731,880,KS
St Francis Elem,St Francis Comm Sch,DNE,-1,Cheyenne County,2628,St Francis,-1,67756,1707,KS
St Francis High,St Francis Comm Sch,DNE,-1,Cheyenne County,2628,St Francis,-1,67756,1707,KS
Ashland Elem,Ashland,DNE,-1,Clark County,1987,Ashland,807,67831,1048,KS
Ashland High,Ashland,DNE,-1,Clark County,1987,Ashland,807,67831,1048,KS
Ashland Junior High School,Ashland,DNE,-1,Clark County,1987,Ashland,807,67831,1048,KS
Minneola Elem,Minneola,DNE,-1,Clark County,1987,Minneola,703,67865,903,KS
Minneola High,Minneola,DNE,-1,Clark County,1987,Minneola,703,67865,903,KS
Clay Center Community High,Clay County,DNE,-1,Clay County,8071,Clay Center,4148,67432,5536,KS
Clay Center Community Middle,Clay County,DNE,-1,Clay County,8071,Clay Center,4148,67432,5536,KS
Garfield Elem,Clay County,DNE,-1,Clay County,8071,Clay Center,4148,67432,5536,KS
Lincoln Elem,Clay County,DNE,-1,Clay County,8071,Clay Center,4148,67432,5536,KS
Wakefield Elem,Clay County,DNE,-1,Clay County,8071,Wakefield,1031,67487,1503,KS
Wakefield High,Clay County,DNE,-1,Clay County,8071,Wakefield,1031,67487,1503,KS
Clifton-Clyde Sr High,Clifton-Clyde,DNE,-1,Cloud County,8973,Clyde,823,66938,1248,KS
Concordia Elementary,Concordia,DNE,-1,Cloud County,8973,Concordia,5067,66901,6134,KS
Concordia Jr-Sr High,Concordia,DNE,-1,Cloud County,8973,Concordia,5067,66901,6134,KS
Concordia Middle,Concordia,DNE,-1,Cloud County,8973,Concordia,5067,66901,6134,KS
DNE,DNE,Cloud County Community College,2,Cloud County,8973,Concordia,5067,DNE,-1,KS
Glasco Elem,Southern Cloud,DNE,-1,Cloud County,8973,Glasco,337,67445,467,KS
Glasco High,Southern Cloud,DNE,-1,Cloud County,8973,Glasco,337,67445,467,KS
Miltonvale Elem,Southern Cloud,DNE,-1,Cloud County,8973,Miltonvale,422,67466,665,KS
Miltonvale High,Southern Cloud,DNE,-1,Cloud County,8973,Miltonvale,422,67466,665,KS
Burlington Elementary School,Burlington,DNE,-1,Coffey County,8304,Burlington,2615,66839,3904,KS
Burlington High,Burlington,DNE,-1,Coffey County,8304,Burlington,2615,66839,3904,KS
Burlington Middle School 5 - 8,Burlington,DNE,-1,Coffey County,8304,Burlington,2615,66839,3904,KS
Southern Coffey County Elementary,LeRoy-Gridley,DNE,-1,Coffey County,8304,Gridley,375,66852,519,KS
Southern Coffey County Middle School,LeRoy-Gridley,DNE,-1,Coffey County,8304,Gridley,375,66852,519,KS
Southern Coffey County High School,LeRoy-Gridley,DNE,-1,Coffey County,8304,LeRoy,461,66857,807,KS
Lebo Elem,Lebo-Waverly,DNE,-1,Coffey County,8304,Lebo,806,66856,1739,KS
Lebo High,Lebo-Waverly,DNE,-1,Coffey County,8304,Lebo,806,66856,1739,KS
Waverly Elem,Lebo-Waverly,DNE,-1,Coffey County,8304,Waverly,528,66871,1257,KS
Waverly High,Lebo-Waverly,DNE,-1,Coffey County,8304,Waverly,528,66871,1257,KS
South Central High School,Comanche County,DNE,-1,Comanche County,1685,Coldwater,667,67029,954,KS
South Central Elementary School,Comanche County,DNE,-1,Comanche County,1685,Protection,504,67127,637,KS
South Central Middle School,Comanche County,DNE,-1,Comanche County,1685,Protection,504,67127,637,KS
Adams Elem,Arkansas City,DNE,-1,Cowley County,34487,Arkansas City,11909,67005,15336,KS
Arkansas City High,Arkansas City,DNE,-1,Cowley County,34487,Arkansas City,11909,67005,15336,KS
Arkansas City Middle Sch,Arkansas City,DNE,-1,Cowley County,34487,Arkansas City,11909,67005,15336,KS
C 4 Elem,Arkansas City,DNE,-1,Cowley County,34487,Arkansas City,11909,67005,15336,KS
DNE,DNE,Cowley County Community College,2,Cowley County,34487,Arkansas City,11909,DNE,-1,KS
Frances Willard Elem,Arkansas City,DNE,-1,Cowley County,34487,Arkansas City,11909,67005,15336,KS
I X L Elem,Arkansas City,DNE,-1,Cowley County,34487,Arkansas City,11909,67005,15336,KS
Jefferson Elem,Arkansas City,DNE,-1,Cowley County,34487,Arkansas City,11909,67005,15336,KS
Roosevelt Elem,Arkansas City,DNE,-1,Cowley County,34487,Arkansas City,11909,67005,15336,KS
Central Elem,Central,DNE,-1,Cowley County,34487,Burden,548,67019,962,KS
Central Jr-Sr High,Central,DNE,-1,Cowley County,34487,Burden,548,67019,962,KS
Dexter Elem,Dexter,DNE,-1,Cowley County,34487,Dexter,508,67038,699,KS
Dexter High,Dexter,DNE,-1,Cowley County,34487,Dexter,508,67038,699,KS
Udall Elem,Udall,DNE,-1,Cowley County,34487,Udall,641,67146,2076,KS
Udall High,Udall,DNE,-1,Cowley County,34487,Udall,641,67146,2076,KS
Udall Middle School,Udall,DNE,-1,Cowley County,34487,Udall,641,67146,2076,KS
Udall Virtual School,Udall,DNE,-1,Cowley County,34487,Udall,641,67146,2076,KS
Country View Elem,Winfield,DNE,-1,Cowley County,34487,Winfield,11731,67156,14183,KS
DNE,DNE,Southwestern College,1,Cowley County,34487,Winfield,11731,DNE,-1,KS
Irving Elem,Winfield,DNE,-1,Cowley County,34487,Winfield,11731,67156,14183,KS
Lowell Elem,Winfield,DNE,-1,Cowley County,34487,Winfield,11731,67156,14183,KS
Whittier Elem,Winfield,DNE,-1,Cowley County,34487,Winfield,11731,67156,14183,KS
Winfield High,Winfield,DNE,-1,Cowley County,34487,Winfield,11731,67156,14183,KS
Winfield Middle School,Winfield,DNE,-1,Cowley County,34487,Winfield,11731,67156,14183,KS
North East High,Northeast,DNE,-1,Crawford County,38963,Arma,1131,66712,1471,KS
Northeast Elem,Northeast,DNE,-1,Crawford County,38963,Arma,1131,66712,1471,KS
Northeast Virtual School,Northeast,DNE,-1,Crawford County,38963,Arma,1131,66712,1471,KS
Southeast High,Cherokee,DNE,-1,Crawford County,38963,Cherokee,692,66724,986,KS
Southeast Middle School,Cherokee,DNE,-1,Crawford County,38963,Cherokee,692,66724,986,KS
Frank Layden Elem,Frontenac Public Schools,DNE,-1,Crawford County,38963,Frontenac,3381,66763,3381,KS
Frontenac Jr. High,Frontenac Public Schools,DNE,-1,Crawford County,38963,Frontenac,3381,66763,3381,KS
Frontenac Sr. High School,Frontenac Public Schools,DNE,-1,Crawford County,38963,Frontenac,3381,66763,3381,KS
Girard High,Girard,DNE,-1,Crawford County,38963,Girard,2706,66743,4384,KS
Girard Middle,Girard,DNE,-1,Crawford County,38963,Girard,2706,66743,4384,KS
R V Haderlein Elem,Girard,DNE,-1,Crawford County,38963,Girard,2706,66743,4384,KS
DNE,DNE,Pittsburg State University,1,Crawford County,38963,Pittsburg,20606,DNE,-1,KS
Geo E Nettels Elem,Pittsburg,DNE,-1,Crawford County,38963,Pittsburg,20606,66762,24814,KS
Lakeside Elem,Pittsburg,DNE,-1,Crawford County,38963,Pittsburg,20606,66762,24814,KS
Meadowlark Elementary,Pittsburg,DNE,-1,Crawford County,38963,Pittsburg,20606,66762,24814,KS
Pittsburg High,Pittsburg,DNE,-1,Crawford County,38963,Pittsburg,20606,66762,24814,KS
Pittsburg Middle School,Pittsburg,DNE,-1,Crawford County,38963,Pittsburg,20606,66762,24814,KS
Westside Elem,Pittsburg,DNE,-1,Crawford County,38963,Pittsburg,20606,66762,24814,KS
Decatur Community Jr/Sr High,Oberlin,DNE,-1,Decatur County,2746,Oberlin,1763,67749,2152,KS
Oberlin Elem,Oberlin,DNE,-1,Decatur County,2746,Oberlin,1763,67749,2152,KS
Abilene High School,Abilene,DNE,-1,Dickinson County,18423,Abilene,6449,67410,10177,KS
Abilene Middle School,Abilene,DNE,-1,Dickinson County,18423,Abilene,6449,67410,10177,KS
Abilene Virtual School,Abilene,DNE,-1,Dickinson County,18423,Abilene,6449,67410,10177,KS
Dwight D. Eisenhower Elementary,Abilene,DNE,-1,Dickinson County,18423,Abilene,6449,67410,10177,KS
Kennedy Elem,Abilene,DNE,-1,Dickinson County,18423,Abilene,6449,67410,10177,KS
McKinley Elem,Abilene,DNE,-1,Dickinson County,18423,Abilene,6449,67410,10177,KS
Blue Ridge Elem,Chapman,DNE,-1,Dickinson County,18423,Chapman,1244,67431,1963,KS
Chapman Elem,Chapman,DNE,-1,Dickinson County,18423,Chapman,1244,67431,1963,KS
Chapman High,Chapman,DNE,-1,Dickinson County,18423,Chapman,1244,67431,1963,KS
Chapman Middle School,Chapman,DNE,-1,Dickinson County,18423,Chapman,1244,67431,1963,KS
Rural Center Elem,Chapman,DNE,-1,Dickinson County,18423,Chapman,1244,67431,1963,KS
Enterprise Elem,Chapman,DNE,-1,Dickinson County,18423,Enterprise,831,67441,1041,KS
Herington Elem,Herington,DNE,-1,Dickinson County,18423,Herington,2105,67449,2756,KS
Herington High,Herington,DNE,-1,Dickinson County,18423,Herington,2105,67449,2756,KS
Herington Middle Sch,Herington,DNE,-1,Dickinson County,18423,Herington,2105,67449,2756,KS
Hope Elem,Rural Vista,DNE,-1,Dickinson County,18423,Hope,463,67451,915,KS
Hope High,Rural Vista,DNE,-1,Dickinson County,18423,Hope,463,67451,915,KS
Solomon Elem,Solomon,DNE,-1,Dickinson County,18423,Solomon,945,67480,1535,KS
Solomon High,Solomon,DNE,-1,Dickinson County,18423,Solomon,945,67480,1535,KS
Doniphan West Elementary School,Doniphan West Schools,DNE,-1,Doniphan County,7492,Denton,129,66017,224,KS
Riverside Intermediate,Riverside,DNE,-1,Doniphan County,7492,Elwood,1169,66024,684,KS
Riverside Primary School,Riverside,DNE,-1,Doniphan County,7492,Elwood,1169,66024,684,KS
DNE,DNE,Highland Community College,2,Doniphan County,7492,Highland,1047,DNE,-1,KS
Doniphan West JR/SR High School,Doniphan West Schools,DNE,-1,Doniphan County,7492,Highland,1047,66035,1388,KS
Troy Elem,Troy Public Schools,DNE,-1,Doniphan County,7492,Troy,794,66087,2035,KS
Troy High and Middle School,Troy Public Schools,DNE,-1,Doniphan County,7492,Troy,794,66087,2035,KS
Riverside High School,Riverside,DNE,-1,Doniphan County,7492,Wathena,1463,66090,2513,KS
Riverside Middle School,Riverside,DNE,-1,Doniphan County,7492,Wathena,1463,66090,2513,KS
Riverside Virtual High School,Riverside,DNE,-1,Doniphan County,7492,Wathena,1463,66090,2513,KS
Baldwin Elementary Intermediate Center,Baldwin City,DNE,-1,Douglas County,119547,Baldwin City,4881,66006,7843,KS
Baldwin Elementary Primary Center,Baldwin City,DNE,-1,Douglas County,119547,Baldwin City,4881,66006,7843,KS
Baldwin High School,Baldwin City,DNE,-1,Douglas County,119547,Baldwin City,4881,66006,7843,KS
Baldwin Junior High School,Baldwin City,DNE,-1,Douglas County,119547,Baldwin City,4881,66006,7843,KS
DNE,DNE,Baker University,1,Douglas County,119547,Baldwin City,4881,DNE,-1,KS
Eudora Elementary School,Eudora,DNE,-1,Douglas County,119547,Eudora,6036,66025,7858,KS
Eudora High School,Eudora,DNE,-1,Douglas County,119547,Eudora,6036,66025,7858,KS
Eudora Middle School,Eudora,DNE,-1,Douglas County,119547,Eudora,6036,66025,7858,KS
Eudora Schools Virtual Learning,Eudora,DNE,-1,Douglas County,119547,Eudora,6036,66025,7858,KS
Sunset Hill Elem,Lawrence,DNE,-1,Douglas County,119547,Lawerence,-1,66049,31351,KS
Billy Mills Middle School,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66046,19972,KS
Cordley Elem,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66044,29052,KS
DNE,DNE,Haskell Indian Nations University,1,Douglas County,119547,Lawrence,95459,DNE,-1,KS
DNE,DNE,University of Kansas,1,Douglas County,119547,Lawrence,95459,DNE,-1,KS
