School_Name,District,College_Name,College_Type,County_Name,County_Population,City,City_Population,ZIP,Zip_Population,State
Harmony Middle,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66221,24835,KS
Heartland Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66213,30024,KS
Indian Valley Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66210,20303,KS
Indian Woods Middle,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66207,15149,KS
John Diemer Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66207,15149,KS
Lakewood Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66223,25050,KS
Lakewood Middle,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66223,25050,KS
Morse Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66221,24835,KS
Oak Hill Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66213,30024,KS
Oak Park-Carpenter Elementary,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66214,12261,KS
Overland Park Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66204,18557,KS
Overland Trail Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66209,20201,KS
Overland Trail Middle,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66209,20201,KS
Oxford Middle,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66213,30024,KS
Pawnee Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66212,32804,KS
Pleasant Ridge Elem,Olathe,DNE,-1,Johnson County,614764,Overland Park,197199,66213,30024,KS
Pleasant Ridge Middle,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66085,11412,KS
Santa Fe Trail Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66204,18557,KS
Shawnee Mission North High,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66202,17321,KS
Shawnee Mission South High,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66207,15149,KS
Shawnee Mission West High,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66212,32804,KS
Stanley Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66223,25050,KS
Sunrise Point Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66224,12184,KS
Sunset Ridge Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66221,24835,KS
Timber Creek Elementary School,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66062,77794,KS
Tomahawk Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66204,18557,KS
Trailwood Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66207,15149,KS
Valley Park Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66209,20201,KS
Westridge Middle,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66214,12261,KS
Wolf Springs Elementary School,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66013,2976,KS
Belinder Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Prairie Village,22937,66208,21754,KS
Briarwood Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Prairie Village,22937,66207,15149,KS
Corinth Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Prairie Village,22937,66206,12030,KS
Indian Hills Middle,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Prairie Village,22937,66208,21754,KS
Prairie Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Prairie Village,22937,66208,21754,KS
Shawnee Mission East High,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Prairie Village,22937,66208,21754,KS
Roesland Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Roeland Park,6800,66205,13728,KS
Belmont Elementary School,De Soto,DNE,-1,Johnson County,614764,Shawnee,68175,66226,16189,KS
Bluejacket-Flint,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66203,19195,KS
Broken Arrow Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66216,24955,KS
Clear Creek Elem,De Soto,DNE,-1,Johnson County,614764,Shawnee,68175,66226,16189,KS
Hocker Grove Middle,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66203,19195,KS
Horizon Elementary,De Soto,DNE,-1,Johnson County,614764,Shawnee,68175,66227,8897,KS
Mill Creek Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66215,26291,KS
Mill Valley High School,De Soto,DNE,-1,Johnson County,614764,Shawnee,68175,66226,16189,KS
Mize Elementary School,De Soto,DNE,-1,Johnson County,614764,Shawnee,68175,66227,8897,KS
Monticello Trails Middle School,De Soto,DNE,-1,Johnson County,614764,Shawnee,68175,66226,16189,KS
Nieman Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66203,19195,KS
Prairie Ridge Elementary School,De Soto,DNE,-1,Johnson County,614764,Shawnee,68175,66226,16189,KS
Ray Marsh Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66216,24955,KS
Rhein Benninghoven Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66216,24955,KS
Riverview Elementary,De Soto,DNE,-1,Johnson County,614764,Shawnee,68175,66226,16189,KS
Shawanoe Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66214,12261,KS
Shawnee Mission Northwest High,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66216,24955,KS
Trailridge Middle,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee,68175,66216,24955,KS
Project Finish,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Shawnee Mission,-1,66202,17321,KS
Dayton Creek Elementary School,Spring Hill,DNE,-1,Johnson County,614764,Spring Hill,8691,66083,12832,KS
Forest Spring Middle School,Spring Hill,DNE,-1,Johnson County,614764,Spring Hill,8691,66083,12832,KS
Spring Hill Elementary School,Spring Hill,DNE,-1,Johnson County,614764,Spring Hill,8691,66083,12832,KS
Spring Hill High School,Spring Hill,DNE,-1,Johnson County,614764,Spring Hill,8691,66083,12832,KS
Wolf Creek Elementary School,Spring Hill,DNE,-1,Johnson County,614764,Spring Hill,8691,66083,12832,KS
Blue Valley High,Blue Valley,DNE,-1,Johnson County,614764,Stilwell,-1,66085,11412,KS
Stilwell Elementary,Blue Valley,DNE,-1,Johnson County,614764,Stilwell,-1,66085,11412,KS
Westwood View Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Westwood,1851,66205,13728,KS
Deerfield Elem,Deerfield,DNE,-1,Kearny County,3910,Deerfield,760,67838,1084,KS
Deerfield High,Deerfield,DNE,-1,Kearny County,3910,Deerfield,760,67838,1084,KS
Deerfield Middle School,Deerfield,DNE,-1,Kearny County,3910,Deerfield,760,67838,1084,KS
Lakin Elem,Lakin,DNE,-1,Kearny County,3910,Lakin,2069,67860,2646,KS
Lakin High,Lakin,DNE,-1,Kearny County,3910,Lakin,2069,67860,2646,KS
Lakin Middle,Lakin,DNE,-1,Kearny County,3910,Lakin,2069,67860,2646,KS
Cunningham Elem,Cunningham,DNE,-1,Kingman County,7284,Cunningham,457,67035,839,KS
Cunningham High,Cunningham,DNE,-1,Kingman County,7284,Cunningham,457,67035,839,KS
Kingman Elementary School,Kingman - Norwich,DNE,-1,Kingman County,7284,Kingman,3003,67068,3881,KS
Kingman High,Kingman - Norwich,DNE,-1,Kingman County,7284,Kingman,3003,67068,3881,KS
Kingman Middle School,Kingman - Norwich,DNE,-1,Kingman County,7284,Kingman,3003,67068,3881,KS
USD 331 Virtual School,Kingman - Norwich,DNE,-1,Kingman County,7284,Kingman,3003,67068,3881,KS
Norwich Elementary School,Kingman - Norwich,DNE,-1,Kingman County,7284,Norwich,483,67118,856,KS
Norwich High,Kingman - Norwich,DNE,-1,Kingman County,7284,Norwich,483,67118,856,KS
Norwich Middle School,Kingman - Norwich,DNE,-1,Kingman County,7284,Norwich,483,67118,856,KS
Kiowa County Elem/Jr. High,Kiowa County,DNE,-1,Kiowa County,2422,Greensburg,703,67054,1272,KS
Kiowa County High School,Kiowa County,DNE,-1,Kiowa County,2422,Greensburg,703,67054,1272,KS
DNE,DNE,Barclay College,1,Kiowa County,2422,Haviland,615,DNE,-1,KS
Haviland Elem,Haviland,DNE,-1,Kiowa County,2422,Haviland,615,67059,849,KS
Altamont Elem,Labette County,DNE,-1,Labette County,19949,Altamont,996,67330,1548,KS
Labette County High School,Labette County,DNE,-1,Labette County,19949,Altamont,996,67330,1548,KS
Labette County Virtual School,Labette County,DNE,-1,Labette County,19949,Altamont,996,67330,1548,KS
Bartlett Elem,Labette County,DNE,-1,Labette County,19949,Bartlett,70,67332,200,KS
Chetopa Elem,Chetopa-St. Paul,DNE,-1,Labette County,19949,Chetopa,995,67336,1186,KS
Chetopa High,Chetopa-St. Paul,DNE,-1,Labette County,19949,Chetopa,995,67336,1186,KS
Edna Elem,Labette County,DNE,-1,Labette County,19949,Edna,357,67342,675,KS
Mound Valley Elem,Labette County,DNE,-1,Labette County,19949,Mound Valley,320,67354,630,KS
Oswego Junior-Senior High School,Oswego,DNE,-1,Labette County,19949,Oswego,1770,67356,2693,KS
Oswego Neosho Hgts Elem,Oswego,DNE,-1,Labette County,19949,Oswego,1770,67356,2693,KS
Service Valley Charter Academy,Oswego,DNE,-1,Labette County,19949,Oswego,1770,67356,2693,KS
DNE,DNE,Labette Community College,2,Labette County,19949,Parsons,9482,DNE,-1,KS
Garfield School,Parsons,DNE,-1,Labette County,19949,Parsons,9482,67357,11786,KS
Guthridge School,Parsons,DNE,-1,Labette County,19949,Parsons,9482,67357,11786,KS
Lincoln School,Parsons,DNE,-1,Labette County,19949,Parsons,9482,67357,11786,KS
Meadowview Elem,Labette County,DNE,-1,Labette County,19949,Parsons,9482,67357,11786,KS
Parsons Middle School,Parsons,DNE,-1,Labette County,19949,Parsons,9482,67357,11786,KS
Parsons Sr High,Parsons,DNE,-1,Labette County,19949,Parsons,9482,67357,11786,KS
St. Hosp. Training Center Parsons,St. Hosp. Training Center Parsons,DNE,-1,Labette County,19949,Parsons,9482,67357,11786,KS
Dighton Elem,Dighton,DNE,-1,Lane County,1497,Dighton,703,67839,941,KS
Dighton High,Dighton,DNE,-1,Lane County,1497,Dighton,703,67839,941,KS
Healy Elem,Healy Public Schools,DNE,-1,Lane County,1497,Healy,-1,67850,560,KS
Healy High,Healy Public Schools,DNE,-1,Lane County,1497,Healy,-1,67850,560,KS
Basehor Elementary School,Basehor-Linwood,DNE,-1,Leavenworth County,82493,Basehor,7229,66007,10060,KS
Basehor-Linwood High School,Basehor-Linwood,DNE,-1,Leavenworth County,82493,Basehor,7229,66007,10060,KS
Basehor-Linwood Middle School,Basehor-Linwood,DNE,-1,Leavenworth County,82493,Basehor,7229,66007,10060,KS
Basehor-Linwood Virtual School,Basehor-Linwood,DNE,-1,Leavenworth County,82493,Basehor,7229,66007,10060,KS
Glenwood Ridge Elementary School,Basehor-Linwood,DNE,-1,Leavenworth County,82493,Basehor,7229,66007,10060,KS
Gray Hawk Elementary School,Basehor-Linwood,DNE,-1,Leavenworth County,82493,Basehor,7229,66007,10060,KS
Linwood Elementary School,Basehor-Linwood,DNE,-1,Leavenworth County,82493,Bonner Springs,7735,66012,10301,KS
Pleasant Ridge Elementary,Easton,DNE,-1,Leavenworth County,82493,Easton,307,66020,1763,KS
Pleasant Ridge High,Easton,DNE,-1,Leavenworth County,82493,Easton,307,66020,1763,KS
Pleasant Ridge Middle,Easton,DNE,-1,Leavenworth County,82493,Easton,307,66020,1763,KS
Bradley Elem,Fort Leavenworth,DNE,-1,Leavenworth County,82493,Fort Leavenworth,-1,66027,7249,KS
Eisenhower Elem,Fort Leavenworth,DNE,-1,Leavenworth County,82493,Fort Leavenworth,-1,66027,7249,KS
MacArthur Elem,Fort Leavenworth,DNE,-1,Leavenworth County,82493,Fort Leavenworth,-1,66027,7249,KS
Patton Jr High,Fort Leavenworth,DNE,-1,Leavenworth County,82493,Fort Leavenworth,-1,66027,7249,KS
Lansing Elementary School,Lansing,DNE,-1,Leavenworth County,82493,Lansing,11229,66043,10821,KS
Lansing High 9-12,Lansing,DNE,-1,Leavenworth County,82493,Lansing,11229,66043,10821,KS
Lansing Intermediate School,Lansing,DNE,-1,Leavenworth County,82493,Lansing,11229,66043,10821,KS
Lansing Middle 6-8,Lansing,DNE,-1,Leavenworth County,82493,Lansing,11229,66043,10821,KS
Anthony Elementary,Leavenworth,DNE,-1,Leavenworth County,82493,Leavenworth,37176,66048,35551,KS
DNE,DNE,University of Saint Mary,1,Leavenworth County,82493,Leavenworth,37176,DNE,-1,KS
David Brewer Elementary,Leavenworth,DNE,-1,Leavenworth County,82493,Leavenworth,37176,66048,35551,KS
Earl Lawson Early Education Center,Leavenworth,DNE,-1,Leavenworth County,82493,Leavenworth,37176,66048,35551,KS
Henry Leavenworth,Leavenworth,DNE,-1,Leavenworth County,82493,Leavenworth,37176,66048,35551,KS
Leavenworth Sr High,Leavenworth,DNE,-1,Leavenworth County,82493,Leavenworth,37176,66048,35551,KS
Leavenworth Virtual School,Leavenworth,DNE,-1,Leavenworth County,82493,Leavenworth,37176,66048,35551,KS
Richard Warren Intermediate School,Leavenworth,DNE,-1,Leavenworth County,82493,Leavenworth,37176,66048,35551,KS
Richard Warren Middle School,Leavenworth,DNE,-1,Leavenworth County,82493,Leavenworth,37176,66048,35551,KS
Tonganoxie Elem,Tonganoxie,DNE,-1,Leavenworth County,82493,Tonganoxie,5693,66086,10935,KS
Tonganoxie High,Tonganoxie,DNE,-1,Leavenworth County,82493,Tonganoxie,5693,66086,10935,KS
Tonganoxie Middle School,Tonganoxie,DNE,-1,Leavenworth County,82493,Tonganoxie,5693,66086,10935,KS
Lincoln Elem,Lincoln,DNE,-1,Lincoln County,2924,Lincoln,-1,67455,1609,KS
Lincoln Jr/Sr High,Lincoln,DNE,-1,Lincoln County,2924,Lincoln,-1,67455,1609,KS
Sylvan-Lucas Unified Jr. sr,Sylvan Grove,DNE,-1,Lincoln County,2924,Sylvan Grove,313,67481,738,KS
Lacygne Elem,Prairie View,DNE,-1,Linn County,9723,LaCygne,-1,66040,3527,KS
Prairie View High,Prairie View,DNE,-1,Linn County,9723,LaCygne,-1,66040,3527,KS
Prairie View Middle,Prairie View,DNE,-1,Linn County,9723,LaCygne,-1,66040,3527,KS
Jayhawk Elementary,Jayhawk,DNE,-1,Linn County,9723,Mound City,866,66056,1428,KS
Jayhawk-Linn High,Jayhawk,DNE,-1,Linn County,9723,Mound City,866,66056,1428,KS
Parker Elem,Prairie View,DNE,-1,Linn County,9723,Parker,336,66072,1201,KS
Pleasanton Elem,Pleasanton,DNE,-1,Linn County,9723,Pleasanton,1434,66075,2305,KS
Pleasanton High,Pleasanton,DNE,-1,Linn County,9723,Pleasanton,1434,66075,2305,KS
Oakley Elem,Oakley,DNE,-1,Logan County,2720,Oakley,2049,67748,2695,KS
Oakley Middle School,Oakley,DNE,-1,Logan County,2720,Oakley,2049,67748,2695,KS
Oakley Sr High,Oakley,DNE,-1,Logan County,2720,Oakley,2049,67748,2695,KS
Winona Elem,Triplains,DNE,-1,Logan County,2720,Winona,183,67764,334,KS
Winona High,Triplains,DNE,-1,Logan County,2720,Winona,183,67764,334,KS
Northern Heights,North Lyon County,DNE,-1,Lyon County,32145,Allen,276,66833,576,KS
NLC Elementary School,North Lyon County,DNE,-1,Lyon County,32145,Americus,1147,66835,1369,KS
DNE,DNE,Emporia State University,1,Lyon County,32145,Emporia,24098,DNE,-1,KS
DNE,DNE,Flint Hills Technical College,2,Lyon County,32145,Emporia,24098,DNE,-1,KS
Emporia High,Emporia,DNE,-1,Lyon County,32145,Emporia,24098,66801,27348,KS
Emporia Middle School,Emporia,DNE,-1,Lyon County,32145,Emporia,24098,66801,27348,KS
Logan Ave Elem,Emporia,DNE,-1,Lyon County,32145,Emporia,24098,66801,27348,KS
Riverside Elementary,Emporia,DNE,-1,Lyon County,32145,Emporia,24098,66801,27348,KS
Timmerman Elementary,Emporia,DNE,-1,Lyon County,32145,Emporia,24098,66801,27348,KS
Village Elem,Emporia,DNE,-1,Lyon County,32145,Emporia,24098,66801,27348,KS
W A White Elem,Emporia,DNE,-1,Lyon County,32145,Emporia,24098,66801,27348,KS
Walnut Elem,Emporia,DNE,-1,Lyon County,32145,Emporia,24098,66801,27348,KS
Hartford Jr./Sr. High School,Southern Lyon County,DNE,-1,Lyon County,32145,Hartford,442,66854,953,KS
Neosho Rapids Elementary,Southern Lyon County,DNE,-1,Lyon County,32145,Neosho Rapids,305,66864,387,KS
Olpe Elementary,Southern Lyon County,DNE,-1,Lyon County,32145,Olpe,603,66865,1189,KS
Olpe Jr./Sr. High School,Southern Lyon County,DNE,-1,Lyon County,32145,Olpe,603,66865,1189,KS
Goessel Elem,Goessel,DNE,-1,Marion County,11795,Goessel,541,67053,541,KS
Goessel High,Goessel,DNE,-1,Marion County,11795,Goessel,541,67053,541,KS
DNE,DNE,Tabor College,1,Marion County,11795,Hillsboro,2716,DNE,-1,KS
Hillsboro Elem,Durham-Hillsboro-Lehigh,DNE,-1,Marion County,11795,Hillsboro,2716,67063,3546,KS
Hillsboro Middle/High School,Durham-Hillsboro-Lehigh,DNE,-1,Marion County,11795,Hillsboro,2716,67063,3546,KS
Centre,Centre,DNE,-1,Marion County,11795,Lost Springs,49,66859,186,KS
Kansas Online Learning Program,Centre,DNE,-1,Marion County,11795,Lost Springs,49,66859,186,KS
Marion Elem,Marion-Florence,DNE,-1,Marion County,11795,Marion,2010,66861,2929,KS
Marion High,Marion-Florence,DNE,-1,Marion County,11795,Marion,2010,66861,2929,KS
Marion Middle,Marion-Florence,DNE,-1,Marion County,11795,Marion,2010,66861,2929,KS
Peabody-Burns Elementary,Peabody-Burns,DNE,-1,Marion County,11795,Peabody,1152,66866,1714,KS
Peabody-Burns Jr/Sr High School,Peabody-Burns,DNE,-1,Marion County,11795,Peabody,1152,66866,1714,KS
Axtell Elementary School,Prairie Hills,DNE,-1,Marshall County,10001,Axtell,466,66403,803,KS
Axtell High,Prairie Hills,DNE,-1,Marshall County,10001,Axtell,466,66403,803,KS
Valley Heights Elem,Valley Heights,DNE,-1,Marshall County,10001,Blue Rapids,918,66411,1195,KS
Valley Heights Jr/Sr High,Valley Heights,DNE,-1,Marshall County,10001,Blue Rapids,918,66411,1195,KS
Frankfort Elem,Vermillion,DNE,-1,Marshall County,10001,Frankfort,731,66427,1241,KS
Frankfort High,Vermillion,DNE,-1,Marshall County,10001,Frankfort,731,66427,1241,KS
Marysville Elem,Marysville,DNE,-1,Marshall County,10001,Marysville,3423,66508,4020,KS
Marysville Jr/Sr High,Marysville,DNE,-1,Marshall County,10001,Marysville,3423,66508,4020,KS
Valley Heights Elementary - Waterville,Valley Heights,DNE,-1,Marshall County,10001,Waterville,748,66548,924,KS
Canton-Galva Jr./Sr. High,Canton-Galva,DNE,-1,McPherson County,30130,Canton,626,67428,1137,KS
Canton-Galva Elementary,Canton-Galva,DNE,-1,McPherson County,30130,Galva,997,67443,2028,KS
Inman Elem,Inman,DNE,-1,McPherson County,30130,Inman,1425,67546,2759,KS
Inman Jr/Sr High School,Inman,DNE,-1,McPherson County,30130,Inman,1425,67546,2759,KS
DNE,DNE,Bethany College,1,McPherson County,30130,Lindsborg,3773,DNE,-1,KS
Smoky Valley High,Smoky Valley,DNE,-1,McPherson County,30130,Lindsborg,3773,67456,5170,KS
Smoky Valley Middle School,Smoky Valley,DNE,-1,McPherson County,30130,Lindsborg,3773,67456,5170,KS
Smoky Valley Virtual Charter School,Smoky Valley,DNE,-1,McPherson County,30130,Lindsborg,3773,67456,5170,KS
Soderstrom Elem,Smoky Valley,DNE,-1,McPherson County,30130,Lindsborg,3773,67456,5170,KS
DNE,DNE,Central Christian College of Kansas,1,McPherson County,30130,McPherson,13956,DNE,-1,KS
DNE,DNE,McPherson College,1,McPherson County,30130,McPherson,13956,DNE,-1,KS
Eisenhower Elementary,McPherson,DNE,-1,McPherson County,30130,McPherson,13956,67460,15933,KS
Lincoln Elem,McPherson,DNE,-1,McPherson County,30130,McPherson,13956,67460,15933,KS
McPherson High,McPherson,DNE,-1,McPherson County,30130,McPherson,13956,67460,15933,KS
McPherson Middle School,McPherson,DNE,-1,McPherson County,30130,McPherson,13956,67460,15933,KS
Roosevelt Elem,McPherson,DNE,-1,McPherson County,30130,McPherson,13956,67460,15933,KS
Washington Elem,McPherson,DNE,-1,McPherson County,30130,McPherson,13956,67460,15933,KS
Moundridge Elem,Moundridge,DNE,-1,McPherson County,30130,Moundridge,1654,67107,2565,KS
Moundridge High,Moundridge,DNE,-1,McPherson County,30130,Moundridge,1654,67107,2565,KS
Moundridge Middle,Moundridge,DNE,-1,McPherson County,30130,Moundridge,1654,67107,2565,KS
Windom Elem,Little River,DNE,-1,McPherson County,30130,Windom,52,67491,362,KS
Fowler Elem,Fowler,DNE,-1,Meade County,3949,Fowler,507,67844,726,KS
Fowler High,Fowler,DNE,-1,Meade County,3949,Fowler,507,67844,726,KS
Meade Elem,Meade,DNE,-1,Meade County,3949,Meade,1274,67864,1701,KS
Meade High,Meade,DNE,-1,Meade County,3949,Meade,1274,67864,1701,KS
Plains Elem,Kismet-Plains,DNE,-1,Meade County,3949,Plains,1308,67869,1518,KS
Broadmoor Elementary,Louisburg,DNE,-1,Miami County,34625,Louisburg,5034,66053,7744,KS
Louisburg High,Louisburg,DNE,-1,Miami County,34625,Louisburg,5034,66053,7744,KS
Louisburg Middle,Louisburg,DNE,-1,Miami County,34625,Louisburg,5034,66053,7744,KS
Louisburg Virtual Program,Louisburg,DNE,-1,Miami County,34625,Louisburg,5034,66053,7744,KS
Rockville Elementary School,Louisburg,DNE,-1,Miami County,34625,Louisburg,5034,66053,7744,KS
Osawatomie High,Osawatomie,DNE,-1,Miami County,34625,Osawatomie,4244,66064,5617,KS
Osawatomie Middle School,Osawatomie,DNE,-1,Miami County,34625,Osawatomie,4244,66064,5617,KS
Osawatomie Virtual School,Osawatomie,DNE,-1,Miami County,34625,Osawatomie,4244,66064,5617,KS
Swenson Early Childhood Education Center,Osawatomie,DNE,-1,Miami County,34625,Osawatomie,4244,66064,5617,KS
Trojan Elem,Osawatomie,DNE,-1,Miami County,34625,Osawatomie,4244,66064,5617,KS
Cottonwood Elem,Paola,DNE,-1,Miami County,34625,Paola,5757,66071,12425,KS
Paola High,Paola,DNE,-1,Miami County,34625,Paola,5757,66071,12425,KS
Paola Middle,Paola,DNE,-1,Miami County,34625,Paola,5757,66071,12425,KS
Sunflower Elem,Paola,DNE,-1,Miami County,34625,Paola,5757,66071,12425,KS
Insight School of Kansas,Spring Hill,DNE,-1,Miami County,34625,Spring Hill,8691,66083,12832,KS
Kansas Virtual Academy (KSVA),Spring Hill,DNE,-1,Miami County,34625,Spring Hill,8691,66083,12832,KS
Spring Hill Middle School,Spring Hill,DNE,-1,Miami County,34625,Spring Hill,8691,66083,12832,KS
Beloit Elem,Beloit,DNE,-1,Mitchell County,5767,Beloit,3141,67420,3824,KS
Beloit Jr-Sr High,Beloit,DNE,-1,Mitchell County,5767,Beloit,3141,67420,3824,KS
DNE,DNE,North Central Kansas Technical College,2,Mitchell County,5767,Beloit,3141,DNE,-1,KS
Lakeside Elementary,Waconda,DNE,-1,Mitchell County,5767,Cawker City,413,67430,508,KS
Tipton Community School,Waconda,DNE,-1,Mitchell County,5767,Tipton,211,67485,349,KS
Caney Valley Charter Academy,Caney Valley,DNE,-1,Montgomery County,31143,Caney,1450,67333,2534,KS
Caney Valley High,Caney Valley,DNE,-1,Montgomery County,31143,Caney,1450,67333,2534,KS
Lincoln Memorial Elem,Caney Valley,DNE,-1,Montgomery County,31143,Caney,1450,67333,2534,KS
Cherryvale Sr / Middle School,Cherryvale,DNE,-1,Montgomery County,31143,Cherryvale,2125,67335,3300,KS
Lincoln Central Elem,Cherryvale,DNE,-1,Montgomery County,31143,Cherryvale,2125,67335,3300,KS
Coffeyville Virtual Program,Coffeyville,DNE,-1,Montgomery County,31143,Coffeyville,8752,67337,10944,KS
Community Elementary,Coffeyville,DNE,-1,Montgomery County,31143,Coffeyville,8752,67337,10944,KS
DNE,DNE,Coffeyville Community College,2,Montgomery County,31143,Coffeyville,8752,DNE,-1,KS
Field Kindley High,Coffeyville,DNE,-1,Montgomery County,31143,Coffeyville,8752,67337,10944,KS
Roosevelt Middle,Coffeyville,DNE,-1,Montgomery County,31143,Coffeyville,8752,67337,10944,KS
BRIDGES Academy,Independence,DNE,-1,Montgomery County,31143,Independence,8469,67301,12996,KS
DNE,DNE,Independence Community College,2,Montgomery County,31143,Independence,8469,DNE,-1,KS
Eisenhower Elem,Independence,DNE,-1,Montgomery County,31143,Independence,8469,67301,12996,KS
Independence Middle,Independence,DNE,-1,Montgomery County,31143,Independence,8469,67301,12996,KS
Independence Sr High,Independence,DNE,-1,Montgomery County,31143,Independence,8469,67301,12996,KS
Jefferson School,Independence,DNE,-1,Montgomery County,31143,Independence,8469,67301,12996,KS
Council Grove Elementary School,Morris County,DNE,-1,Morris County,5388,Council Grove,2487,66846,3331,KS
Council Grove Junior Senior High School,Morris County,DNE,-1,Morris County,5388,Council Grove,2487,66846,3331,KS
White City Elem,Rural Vista,DNE,-1,Morris County,5388,White City,439,66872,885,KS
White City High,Rural Vista,DNE,-1,Morris County,5388,White City,439,66872,885,KS
Elkhart Elem,Elkhart,DNE,-1,Morton County,2647,Elkhart,1732,67950,1786,KS
Elkhart High,Elkhart,DNE,-1,Morton County,2647,Elkhart,1732,67950,1786,KS
Elkhart Middle School,Elkhart,DNE,-1,Morton County,2647,Elkhart,1732,67950,1786,KS
Point Rock Alternative Learning Center,Elkhart,DNE,-1,Morton County,2647,Elkhart,1732,67950,1786,KS
Kansas Connections Academy,Elkhart,DNE,-1,Morton County,2647,Newton,18443,67114,21102,KS
Rolla Elem (PreK-5),Rolla,DNE,-1,Morton County,2647,Rolla,545,67954,797,KS
Rolla JH/HS (6-12),Rolla,DNE,-1,Morton County,2647,Rolla,545,67954,797,KS
Centralia Elem,Vermillion,DNE,-1,Nemaha County,10213,Centralia,496,66415,763,KS
Centralia High,Vermillion,DNE,-1,Nemaha County,10213,Centralia,496,66415,763,KS
Sabetha Elementary School,Prairie Hills,DNE,-1,Nemaha County,10213,Sabetha,2326,66534,3720,KS
Sabetha High School,Prairie Hills,DNE,-1,Nemaha County,10213,Sabetha,2326,66534,3720,KS
Sabetha Middle School,Prairie Hills,DNE,-1,Nemaha County,10213,Sabetha,2326,66534,3720,KS
Nemaha Central Elementary and Middle School,Nemaha Central,DNE,-1,Nemaha County,10213,Seneca,2139,66538,3577,KS
Nemaha Central High School,Nemaha Central,DNE,-1,Nemaha County,10213,Seneca,2139,66538,3577,KS
Chanute Elementary School,Chanute Public Schools,DNE,-1,Neosho County,15715,Chanute,8629,66720,10913,KS
Chanute High,Chanute Public Schools,DNE,-1,Neosho County,15715,Chanute,8629,66720,10913,KS
DNE,DNE,Neosho County Community College,2,Neosho County,15715,Chanute,8629,DNE,-1,KS
Royster Middle School,Chanute Public Schools,DNE,-1,Neosho County,15715,Chanute,8629,66720,10913,KS
