County_Name,City,ZIP,County_Population,City_Population,Zip_Population,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Or_Above_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges
Johnson County,Olathe,66063,614764,143720,-1,1,0,0,0,0,1,0,0
Johnson County,Olathe,DNE,614764,143720,-1,0,0,0,0,1,1,0,0
Johnson County,Overland Park,66013,614764,197199,2976,1,0,0,0,0,4,1,3
Johnson County,Overland Park,66062,614764,197199,77794,1,0,1,0,0,4,1,3
Johnson County,Overland Park,66085,614764,197199,11412,2,2,1,0,0,4,1,3
Johnson County,Overland Park,66202,614764,197199,17321,0,0,1,0,0,4,1,3
Johnson County,Overland Park,66204,614764,197199,18557,5,0,0,0,0,4,1,3
Johnson County,Overland Park,66207,614764,197199,15149,2,1,1,0,0,4,1,3
Johnson County,Overland Park,66209,614764,197199,20201,2,1,1,0,0,4,1,3
Johnson County,Overland Park,66210,614764,197199,20303,1,0,0,0,0,4,1,3
Johnson County,Overland Park,66212,614764,197199,32804,2,0,1,0,0,4,1,3
Johnson County,Overland Park,66213,614764,197199,30024,5,1,1,0,0,4,1,3
Johnson County,Overland Park,66214,614764,197199,12261,2,1,0,0,0,4,1,3
Johnson County,Overland Park,66221,614764,197199,24835,3,2,0,0,0,4,1,3
Johnson County,Overland Park,66223,614764,197199,25050,3,1,0,1,0,4,1,3
Johnson County,Overland Park,66224,614764,197199,12184,1,0,0,0,0,4,1,3
Johnson County,Overland Park,DNE,614764,197199,-1,0,0,0,0,1,4,1,3
Johnson County,Prairie Village,66206,614764,22937,12030,1,0,0,0,0,0,0,0
Johnson County,Prairie Village,66207,614764,22937,15149,1,0,0,0,0,0,0,0
Johnson County,Prairie Village,66208,614764,22937,21754,2,1,1,0,0,0,0,0
Johnson County,Roeland Park,66205,614764,6800,13728,1,0,0,0,0,0,0,0
Johnson County,Shawnee,66203,614764,68175,19195,1,1,0,0,1,0,0,0
Johnson County,Shawnee,66214,614764,68175,12261,1,0,0,0,0,0,0,0
Johnson County,Shawnee,66215,614764,68175,26291,1,0,0,0,0,0,0,0
Johnson County,Shawnee,66216,614764,68175,24955,3,1,1,0,0,0,0,0
Johnson County,Shawnee,66226,614764,68175,16189,4,1,1,0,0,0,0,0
Johnson County,Shawnee,66227,614764,68175,8897,2,0,0,0,0,0,0,0
Johnson County,Shawnee Mission,66202,614764,-1,17321,0,0,0,0,1,0,0,0
Johnson County,Spring Hill,66083,614764,8691,12832,3,1,1,0,0,0,0,0
Johnson County,Stilwell,66085,614764,-1,11412,1,0,1,0,0,0,0,0
Johnson County,Westwood,66205,614764,1851,13728,1,0,0,0,0,0,0,0
Kearny County,Deerfield,67838,3910,760,1084,1,1,1,0,0,0,0,0
Kearny County,Lakin,67860,3910,2069,2646,1,1,1,0,0,0,0,0
Kingman County,Cunningham,67035,7284,457,839,1,0,1,0,0,0,0,0
Kingman County,Kingman,67068,7284,3003,3881,1,1,1,1,0,0,0,0
Kingman County,Norwich,67118,7284,483,856,1,1,1,0,0,0,0,0
Kiowa County,Greensburg,67054,2422,703,1272,0,1,1,0,0,0,0,0
Kiowa County,Haviland,67059,2422,615,849,1,0,0,0,0,1,0,0
Kiowa County,Haviland,DNE,2422,615,-1,0,0,0,0,1,1,0,0
Labette County,Altamont,67330,19949,996,1548,1,0,1,1,0,0,0,0
Labette County,Bartlett,67332,19949,70,200,1,0,0,0,0,0,0,0
Labette County,Chetopa,67336,19949,995,1186,1,0,1,0,0,0,0,0
Labette County,Edna,67342,19949,357,675,1,0,0,0,0,0,0,0
Labette County,Mound Valley,67354,19949,320,630,1,0,0,0,0,0,0,0
