County_Name,County_Population,County_Latitude,County_Longitude,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges,Four_Year_Colleges_With_DS_AI,Two_Year_Colleges_With_DS_AI,Less_Than_Two_Year_Colleges_With_DS_AI,Online_Impact_Score,Total_Program_Impact_Score,Broadband_Access_Index,Internet_Adoption_Pct,Avg_Broadband_Coverage_Pct,Pct_No_Internet,Total_Households,Effective_Access_Score,Median_Household_Income,Poverty_Rate,Unemployment_Rate,Advanced_Degree_Rate,Young_Adult_Bachelors_Plus_Rate,STEM_Employment_Rate,Professional_Services_Rate,Low_Income_Digital_Access_Rate,Has_Programs
Stanton County,2018,37.5659319,-101.7893829,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.426399027,85.3,-1.0,14.0,822,0.0,70361,0.128772636,0.022058823529411766,0.153121903,0.23696319,0.077336198,0.035445757,1.143939394,0
Stevens County,5212,37.2017002,-101.317268,2,1,2,1,0,0,0,0,0,0,0,0.0,0.0,0.83501525145555555,90.1,76.9,7.2,1789,0.0,61909,0.152821317,0.044794690999585232,0.101496546,0.16231973,0.00694746,0.029960921,1.356223176,0
Sumner County,22386,37.2366617,-97.4933519,9,3,6,3,2,0,0,0,0,0,0,0.0,0.0,0.81058994629868453,84.7,77.5,12.9,8974,0.0,60348,0.107548033,0.059531646760086522,0.180961315,0.26716349,0.0371,0.0542,1.650269024,0
Thomas County,7913,39.3577126,-101.0833859,2,2,3,0,1,0,2,0,0,0,0,0.0,0.0,0.8089890304125,89.6,72.2,9.1,3101,0.0,73575,0.068910256,0.0014144271570014145,0.188676861,0.302471637,0.054060434,0.076487252,1.182552504,0
Trego County,2778,38.9213022,-99.865423,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.77832976249999986,89.0,66.7,10.3,1346,0.0,73375,0.05510355,0.010731052984574111,0.220302376,0.287458901,0.011525424,0.035254237,1.275,0
Wabaunsee County,6961,38.9551537,-96.2012619,3,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.755868285061111,84.1,67.1,14.6,2616,0.0,70536,0.070546737,0.039871944121071014,0.183163339,0.26645768,0.040012125,0.033949682,1.632653061,0
Wallace County,1459,38.9266259,-101.7711031,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.82326606006666658,87.3,77.4,9.4,660,0.0,60263,0.128222997,0.0125,0.15695682,0.226732673,0.0,0.016877637,1.287878788,0
Washington County,5519,39.7767152,-97.0956096,4,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.70791239809166662,76.6,64.9,20.0,2371,0.0,62452,0.081180812,0.015290519877675841,0.161261098,0.2330453,0.028338509,0.038431677,1.776536313,0
Wichita County,2115,38.4819222,-101.3474341,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.83357263723333341,93.6,73.1,4.1,878,0.0,71282,0.163167939,0.00522466039707419,0.130496454,0.188395904,0.049369748,0.012605042,1.114427861,0
Wilson County,8559,37.5585146,-95.7451749,4,0,3,1,1,0,0,0,0,0,0,0.0,0.0,0.76856789845925944,79.3,74.4,17.7,3515,0.0,57056,0.157907225,0.03546626984126984,0.147563968,0.212554695,0.049884289,0.048598611,1.622047244,0
Woodson County,3118,37.8881929,-95.7584691,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.75189545636666666,82.8,67.6,15.7,1226,0.0,48152,0.123091913,0.025129342202512936,0.170942912,0.226039016,0.017437453,0.013646702,1.377952756,0
Wyandotte County,167277,39.1153842,-94.7630866,35,10,8,4,6,12,12,0,0,0,0,0.0,0.0,0.81814279208319907,86.7,76.9,9.5,61241,0.0,60582,0.175001663,0.053992312713032127,0.12977875,0.204705328,0.045025362,0.054774043,1.36004682,0
