County_Name,County_Population,County_Latitude,County_Longitude,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges,Four_Year_Colleges_With_DS_AI,Two_Year_Colleges_With_DS_AI,Less_Than_Two_Year_Colleges_With_DS_AI,Online_Impact_Score,Total_Program_Impact_Score,Broadband_Access_Index,Internet_Adoption_Pct,Avg_Broadband_Coverage_Pct,Pct_No_Internet,Total_Households,Effective_Access_Score,Median_Household_Income,Poverty_Rate,Unemployment_Rate,Advanced_Degree_Rate,Young_Adult_Bachelors_Plus_Rate,STEM_Employment_Rate,Professional_Services_Rate,Low_Income_Digital_Access_Rate,Has_Programs
Mitchell County,5767,39.3930256,-98.2073621,2,0,1,0,2,0,2,0,0,0,0,0.0,0.0,0.80188725660833338,84.8,75.5,9.3,2567,0.0,58233,0.124733475,0.008771929824561403,0.173573782,0.254319106,0.015486726,0.052359882,1.364,0
Montgomery County,31143,37.1895369,-95.7424028,4,3,3,3,3,0,4,0,0,0,0,0.0,0.0,0.79592937832352972,84.2,75.0,13.2,12871,0.0,53242,0.162820768,0.038711057246738435,0.143370902,0.213075638,0.031592999,0.039750816,1.395631068,0
Morris County,5388,38.688204,-96.6514482,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.752941951,85.0,65.6,12.6,2499,0.0,56716,0.127711752,0.019886363636363636,0.202487008,0.27315974,0.021014493,0.099637681,1.363957597,0
Morton County,2647,37.1852495,-101.8095163,2,1,2,1,1,0,0,0,0,0,0,0.0,0.0,0.80158000188636347,84.4,75.9,12.4,950,0.0,65625,0.147788984,0.035836177474402729,0.116358141,0.165858912,0.023893805,0.02300885,1.18487395,0
Nemaha County,10213,39.7910427,-96.0053805,2,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.80268353567619055,85.6,74.9,9.7,4047,0.0,77375,0.07720291,0.008840864440078585,0.195535102,0.301297526,0.044995045,0.030525273,1.374422188,0
Neosho County,15715,37.5642832,-95.3156822,3,3,3,0,2,0,2,0,0,0,0,0.0,0.0,0.77515595914545465,82.2,72.8,14.8,6322,0.0,55704,0.154048716,0.0463514766256125,0.144893414,0.218061674,0.029856964,0.027496181,1.403326403,0
Ness County,2659,38.4804369,-99.9087452,2,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.76878124694666639,89.7,64.1,8.9,1163,0.0,66107,0.114065511,0.010238907849829351,0.158706281,0.230098146,0.027586207,0.037931034,1.314917127,0
Norton County,5392,39.7838666,-99.8992352,2,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.82071679147999987,92.6,71.5,6.6,1917,0.0,50305,0.085285422,0.006369426751592357,0.142433234,0.194282823,0.028599606,0.054240631,1.086440678,0
Osage County,15780,38.6502149,-95.7082554,4,2,5,0,2,0,0,0,0,0,0,0.0,0.0,0.79407300329487207,83.7,75.2,13.2,6362,0.0,70216,0.109988415,0.0253099173553719,0.146451204,0.209976377,0.035771065,0.054848967,1.407550823,0
Osborne County,3473,39.3482608,-98.7679416,2,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.73615536401999959,84.0,63.2,14.4,1609,0.0,59408,0.124554102,0.016022099447513812,0.166138785,0.23043131,0.028074116,0.026951151,1.324561404,0
Ottawa County,5782,39.1379632,-97.6548025,3,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.82088031807777773,87.5,76.7,10.2,2377,0.0,76755,0.121153166,0.032356948228882833,0.170183328,0.242723236,0.038366772,0.029567054,1.35770235,0
Pawnee County,6220,38.1814768,-99.2347717,2,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.82619208822777779,89.2,76.0,10.6,2415,0.0,63625,0.112239247,0.012195121951219513,0.146945338,0.187756779,0.025044092,0.029982363,1.287378641,0
Phillips County,4874,39.7845058,-99.3421498,2,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.77117677978333332,85.7,68.5,12.2,2182,0.0,61235,0.138429319,0.031746031746031744,0.156339762,0.223263991,0.026140895,0.05006646,1.410199557,0
Pottawatomie County,25808,39.3821868,-96.3371126,8,3,4,1,0,0,0,0,0,0,0,0.0,0.0,0.81871759149206391,91.2,72.5,6.0,9084,0.0,87694,0.07111146,0.019058119388880138,0.233144761,0.365419653,0.055956969,0.066473988,1.238998483,0
Pratt County,9120,37.6475943,-98.7401199,2,1,2,0,2,0,2,0,0,0,0,0.0,0.0,0.81272792145833339,84.2,78.3,12.0,3521,0.0,64348,0.095489782,0.037154508382419571,0.16995614,0.265592872,0.026588235,0.040941176,1.550949914,0
Rawlins County,2533,39.7861975,-101.0767378,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.80345174263333341,85.0,75.7,13.8,1166,0.0,65000,0.100921105,0.011661807580174927,0.125148046,0.172940535,0.036873156,0.054572271,1.264227642,0
Reno County,61693,37.9481849,-98.0783463,13,6,5,5,3,0,3,0,0,0,0,0.0,0.0,0.82630245767828758,82.7,82.5,12.7,25344,0.0,60498,0.124369748,0.039280300533843009,0.141247791,0.205489789,0.033031488,0.042395555,1.472245409,0
Republic County,4662,39.8289061,-97.650883,2,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.75935602609333319,75.0,76.8,23.0,1994,0.0,53611,0.145929339,0.010478359908883827,0.178893179,0.253726803,0.051104972,0.063996317,1.815718157,0
Rice County,9389,38.3471776,-98.2014154,4,2,4,0,1,2,0,0,0,0,0,0.0,0.0,0.80814911937333322,85.7,76.0,11.1,3694,0.0,63947,0.073625243,0.033492822966507178,0.157418255,0.242692939,0.042529253,0.047929793,1.574952562,0
Riley County,71710,39.2912101,-96.7274879,11,3,3,1,1,6,3,3,1,0,0,6.6,9.0,0.82982761663283611,90.9,75.1,5.3,27137,5.476862269776718,59560,0.22035586,0.04692138013670652,0.241849114,0.479764309,0.072775587,0.088719355,1.204648443,1
