County,Total_Program_Impact_Score,Median_Household_Income,Poverty_Rate,Unemployment_Rate,Advanced_Degree_Rate,Young_Adult_Bachelors_Plus_Rate,STEM_Employment_Rate,Professional_Services_Rate,Low_Income_Digital_Access_Rate,Total_Population
Sheridan County,0.0,70000,0.104391052,0.0061443932411674347,0.163390663,0.242553191,0.007727975,0.028593509,1.155555556,2442
Sherman County,0.0,64444,0.100288081,0.0037771482530689331,0.161513769,0.251380489,0.022432859,0.033807267,1.314148681,5919
Smith County,0.0,57024,0.078369906,0.016255605381165918,0.182732607,0.245587683,0.017663818,0.035327635,1.48013245,3579
Stafford County,0.0,63786,0.108121957,0.025793650793650792,0.181068931,0.263349074,0.010183299,0.035641548,1.375,4004
Stanton County,0.0,70361,0.128772636,0.022058823529411766,0.153121903,0.23696319,0.077336198,0.035445757,1.143939394,2018
Stevens County,0.0,61909,0.152821317,0.044794690999585232,0.101496546,0.16231973,0.00694746,0.029960921,1.356223176,5212
Sumner County,0.0,60348,0.107548033,0.059531646760086522,0.180961315,0.26716349,0.0371,0.0542,1.650269024,22386
Thomas County,0.0,73575,0.068910256,0.0014144271570014145,0.188676861,0.302471637,0.054060434,0.076487252,1.182552504,7913
Trego County,0.0,73375,0.05510355,0.010731052984574111,0.220302376,0.287458901,0.011525424,0.035254237,1.275,2778
Wabaunsee County,0.0,70536,0.070546737,0.039871944121071014,0.183163339,0.26645768,0.040012125,0.033949682,1.632653061,6961
Wallace County,0.0,60263,0.128222997,0.0125,0.15695682,0.226732673,0,0.016877637,1.287878788,1459
Washington County,0.0,62452,0.081180812,0.015290519877675841,0.161261098,0.2330453,0.028338509,0.038431677,1.776536313,5519
Wichita County,0.0,71282,0.163167939,0.00522466039707419,0.130496454,0.188395904,0.049369748,0.012605042,1.114427861,2115
Wilson County,0.0,57056,0.157907225,0.03546626984126984,0.147563968,0.212554695,0.049884289,0.048598611,1.622047244,8559
Woodson County,0.0,48152,0.123091913,0.025129342202512936,0.170942912,0.226039016,0.017437453,0.013646702,1.377952756,3118
Comanche County,0.0,49417,0.111797406,0.024361948955916472,0.143620178,0.191911182,0.001189061,0.033293698,1.461538462,1685
