GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASN1E001,NAME_M,ASN1M001
"G20009525","2019-2023","KS",,,"Kansas","20",,,"Burr Oak city","09525",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009525",,,"2009525","Burr Oak city, Kansas",114,"Burr Oak city, Kansas",35
"G20009575","2019-2023","KS",,,"Kansas","20",,,"Burrton city","09575",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009575",,,"2009575","Burrton city, Kansas",874,"Burrton city, Kansas",179
"G20009675","2019-2023","KS",,,"Kansas","20",,,"Bushong city","09675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009675",,,"2009675","Bushong city, Kansas",44,"Bushong city, Kansas",48
"G20009700","2019-2023","KS",,,"Kansas","20",,,"Bushton city","09700",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009700",,,"2009700","Bushton city, Kansas",237,"Bushton city, Kansas",94
"G20009800","2019-2023","KS",,,"Kansas","20",,,"Byers city","09800",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009800",,,"2009800","Byers city, Kansas",10,"Byers city, Kansas",9
"G20009900","2019-2023","KS",,,"Kansas","20",,,"Caldwell city","09900",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009900",,,"2009900","Caldwell city, Kansas",1091,"Caldwell city, Kansas",185
"G20010125","2019-2023","KS",,,"Kansas","20",,,"Cambridge city","10125",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2010125",,,"2010125","Cambridge city, Kansas",74,"Cambridge city, Kansas",29
"G20010375","2019-2023","KS",,,"Kansas","20",,,"Caney city","10375",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2010375",,,"2010375","Caney city, Kansas",1450,"Caney city, Kansas",305
"G20010475","2019-2023","KS",,,"Kansas","20",,,"Canton city","10475",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2010475",,,"2010475","Canton city, Kansas",626,"Canton city, Kansas",134
"G20010600","2019-2023","KS",,,"Kansas","20",,,"Carbondale city","10600",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2010600",,,"2010600","Carbondale city, Kansas",1361,"Carbondale city, Kansas",208
"G20010675","2019-2023","KS",,,"Kansas","20",,,"Carlton city","10675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2010675",,,"2010675","Carlton city, Kansas",19,"Carlton city, Kansas",13
"G20010925","2019-2023","KS",,,"Kansas","20",,,"Cassoday city","10925",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2010925",,,"2010925","Cassoday city, Kansas",129,"Cassoday city, Kansas",43
"G20011025","2019-2023","KS",,,"Kansas","20",,,"Catharine CDP","11025",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2011025",,,"2011025","Catharine CDP, Kansas",252,"Catharine CDP, Kansas",129
"G20011175","2019-2023","KS",,,"Kansas","20",,,"Cawker City city","11175",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2011175",,,"2011175","Cawker City city, Kansas",413,"Cawker City city, Kansas",122
"G20011325","2019-2023","KS",,,"Kansas","20",,,"Cedar city","11325",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2011325",,,"2011325","Cedar city, Kansas",7,"Cedar city, Kansas",10
"G20011425","2019-2023","KS",,,"Kansas","20",,,"Cedar Point city","11425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2011425",,,"2011425","Cedar Point city, Kansas",9,"Cedar Point city, Kansas",11
"G20011450","2019-2023","KS",,,"Kansas","20",,,"Cedar Vale city","11450",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2011450",,,"2011450","Cedar Vale city, Kansas",618,"Cedar Vale city, Kansas",146
"G20012325","2019-2023","KS",,,"Kansas","20",,,"Centerville CDP","12325",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012325",,,"2012325","Centerville CDP, Kansas",0,"Centerville CDP, Kansas",11
"G20012425","2019-2023","KS",,,"Kansas","20",,,"Centralia city","12425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012425",,,"2012425","Centralia city, Kansas",496,"Centralia city, Kansas",107
"G20012450","2019-2023","KS",,,"Kansas","20",,,"Centropolis CDP","12450",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012450",,,"2012450","Centropolis CDP, Kansas",70,"Centropolis CDP, Kansas",64
"G20012500","2019-2023","KS",,,"Kansas","20",,,"Chanute city","12500",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012500",,,"2012500","Chanute city, Kansas",8629,"Chanute city, Kansas",36
"G20012550","2019-2023","KS",,,"Kansas","20",,,"Chapman city","12550",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012550",,,"2012550","Chapman city, Kansas",1244,"Chapman city, Kansas",228
"G20012650","2019-2023","KS",,,"Kansas","20",,,"Chase city","12650",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012650",,,"2012650","Chase city, Kansas",447,"Chase city, Kansas",95
"G20012675","2019-2023","KS",,,"Kansas","20",,,"Chautauqua city","12675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012675",,,"2012675","Chautauqua city, Kansas",108,"Chautauqua city, Kansas",49
"G20012775","2019-2023","KS",,,"Kansas","20",,,"Cheney city","12775",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012775",,,"2012775","Cheney city, Kansas",2386,"Cheney city, Kansas",169
"G20012825","2019-2023","KS",,,"Kansas","20",,,"Cherokee city","12825",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012825",,,"2012825","Cherokee city, Kansas",692,"Cherokee city, Kansas",164
"G20012925","2019-2023","KS",,,"Kansas","20",,,"Cherryvale city","12925",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012925",,,"2012925","Cherryvale city, Kansas",2125,"Cherryvale city, Kansas",292
"G20012950","2019-2023","KS",,,"Kansas","20",,,"Chetopa city","12950",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2012950",,,"2012950","Chetopa city, Kansas",995,"Chetopa city, Kansas",208
"G20013100","2019-2023","KS",,,"Kansas","20",,,"Chicopee CDP","13100",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2013100",,,"2013100","Chicopee CDP, Kansas",405,"Chicopee CDP, Kansas",226
"G20013275","2019-2023","KS",,,"Kansas","20",,,"Cimarron city","13275",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2013275",,,"2013275","Cimarron city, Kansas",1942,"Cimarron city, Kansas",253
"G20013375","2019-2023","KS",,,"Kansas","20",,,"Circleville city","13375",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2013375",,,"2013375","Circleville city, Kansas",148,"Circleville city, Kansas",42
"G20013425","2019-2023","KS",,,"Kansas","20",,,"Claflin city","13425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2013425",,,"2013425","Claflin city, Kansas",434,"Claflin city, Kansas",150
"G20013625","2019-2023","KS",,,"Kansas","20",,,"Clay Center city","13625",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2013625",,,"2013625","Clay Center city, Kansas",4148,"Clay Center city, Kansas",18
"G20013675","2019-2023","KS",,,"Kansas","20",,,"Clayton city","13675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2013675",,,"2013675","Clayton city, Kansas",57,"Clayton city, Kansas",46
"G20013925","2019-2023","KS",,,"Kansas","20",,,"Clearwater city","13925",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2013925",,,"2013925","Clearwater city, Kansas",2536,"Clearwater city, Kansas",339
"G20014200","2019-2023","KS",,,"Kansas","20",,,"Clifton city","14200",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014200",,,"2014200","Clifton city, Kansas",453,"Clifton city, Kansas",110
"G20014275","2019-2023","KS",,,"Kansas","20",,,"Climax city","14275",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014275",,,"2014275","Climax city, Kansas",57,"Climax city, Kansas",36
"G20014475","2019-2023","KS",,,"Kansas","20",,,"Clyde city","14475",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014475",,,"2014475","Clyde city, Kansas",823,"Clyde city, Kansas",142
"G20014525","2019-2023","KS",,,"Kansas","20",,,"Coats city","14525",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014525",,,"2014525","Coats city, Kansas",113,"Coats city, Kansas",61
"G20014575","2019-2023","KS",,,"Kansas","20",,,"Codell CDP","14575",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014575",,,"2014575","Codell CDP, Kansas",54,"Codell CDP, Kansas",47
"G20014600","2019-2023","KS",,,"Kansas","20",,,"Coffeyville city","14600",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014600",,,"2014600","Coffeyville city, Kansas",8752,"Coffeyville city, Kansas",52
"G20014650","2019-2023","KS",,,"Kansas","20",,,"Colby city","14650",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014650",,,"2014650","Colby city, Kansas",5389,"Colby city, Kansas",386
"G20014700","2019-2023","KS",,,"Kansas","20",,,"Coldwater city","14700",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014700",,,"2014700","Coldwater city, Kansas",667,"Coldwater city, Kansas",141
"G20014900","2019-2023","KS",,,"Kansas","20",,,"Collyer city","14900",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014900",,,"2014900","Collyer city, Kansas",87,"Collyer city, Kansas",29
"G20014950","2019-2023","KS",,,"Kansas","20",,,"Colony city","14950",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2014950",,,"2014950","Colony city, Kansas",310,"Colony city, Kansas",103
"G20015075","2019-2023","KS",,,"Kansas","20",,,"Columbus city","15075",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2015075",,,"2015075","Columbus city, Kansas",2902,"Columbus city, Kansas",14
"G20015100","2019-2023","KS",,,"Kansas","20",,,"Colwich city","15100",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2015100",,,"2015100","Colwich city, Kansas",1616,"Colwich city, Kansas",270
"G20015200","2019-2023","KS",,,"Kansas","20",,,"Concordia city","15200",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2015200",,,"2015200","Concordia city, Kansas",5067,"Concordia city, Kansas",19
"G20015325","2019-2023","KS",,,"Kansas","20",,,"Conway Springs city","15325",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2015325",,,"2015325","Conway Springs city, Kansas",1597,"Conway Springs city, Kansas",366
